id,sex,married,employment,income,digital1
100119,F,1,employed,22456.0,0.615
100120,F,0,student,17938.0,0.68
100121,F,0,student,7651.0,0.984
100122,M,1,employed,29822.0,0.525
100123,M,1,employed,21799.0,0.483
100124,M,0,student,0.0,0.682
100125,M,0,employed,26739.0,0.357
100126,M,0,employed,22416.0,0.113
100127,M,1,employed,53271.0,0.462
100128,M,0,employed,30576.0,0.52
100129,F,0,employed,65456.0,0.644
100130,F,0,unemployed,22878.0,0.442
100131,F,0,unemployed,25508.0,0.128
100132,F,1,employed,33368.0,0.613
100133,M,0,unemployed,26131.0,0.063
100134,M,0,employed,14151.0,0.555
100135,M,1,employed,27362.0,0.485
100136,M,0,student,16100.0,0.801
100137,F,1,unemployed,26804.0,0.682
100138,M,1,unemployed,0.0,0.208
100139,M,1,unemployed,28661.0,0.274
100140,M,0,retired,30201.0,0.09
100141,F,1,employed,26544.0,0.104
100142,M,1,employed,55439.0,0.598
100143,M,0,employed,91456.0,0.475
100144,M,1,employed,55339.0,0.55
100145,M,1,employed,39513.0,0.544
100146,M,1,retired,38201.0,0.2
100147,M,0,student,0.0,0.755
100148,M,0,retired,31763.0,0.243
100149,F,0,student,18026.0,0.289
100150,M,1,retired,30065.0,0.205
100151,M,0,student,0.0,0.28
100152,F,1,student,0.0,0.617
100153,M,1,employed,29341.0,0.334
100154,F,0,student,5627.0,0.292
100155,M,1,unemployed,21680.0,0.585
100156,F,1,employed,13783.0,0.276
100157,F,1,employed,24329.0,0.35
100158,M,1,employed,36895.0,0.507
100159,M,0,employed,26577.0,0.33
100160,M,1,employed,33710.0,0.624
100161,M,0,employed,33479.0,0.289
100162,F,1,employed,47647.0,0.034
100163,F,1,employed,29430.0,0.389
100164,M,1,retired,22823.0,0.271
100165,F,0,student,0.0,0.371
100166,M,0,student,0.0,0.778
100167,F,0,student,0.0,0.936
100168,M,1,employed,85801.0,0.402
100169,F,1,retired,23149.0,0.155
100170,F,1,employed,60053.0,0.421
100171,M,1,employed,30356.0,0.326
100172,F,1,employed,16318.0,0.527
100173,M,0,retired,23760.0,0.255
100174,M,1,student,10859.0,0.741
100175,M,0,employed,31435.0,0.644
100176,F,1,employed,30375.0,0.661
100177,M,1,employed,28143.0,0.611
100178,M,1,employed,25723.0,0.435
100179,M,1,employed,49504.0,0.549
100180,F,1,employed,42509.0,0.2
100181,F,1,unemployed,20769.0,0.18
100182,F,0,student,11915.0,0.275
100183,M,0,student,13153.0,0.559
100184,F,0,retired,21212.0,0.212
100185,M,1,retired,53898.0,0.03
100186,F,0,unemployed,22493.0,0.511
100187,M,0,employed,30959.0,0.458
100188,F,1,unemployed,0.0,0.552
100189,F,0,unemployed,26582.0,0.18
100190,F,1,employed,22256.0,0.53
100191,F,0,retired,18992.0,0.27
100192,M,1,retired,67067.0,0.118
100193,M,1,employed,61825.0,0.237
100194,F,0,employed,10169.0,0.509
100195,M,0,employed,66857.0,0.608
100196,F,1,employed,21944.0,0.472
100197,F,1,unemployed,23195.0,0.432
100198,F,0,employed,29302.0,0.413
100199,M,1,employed,28201.0,0.042
100200,F,0,employed,44621.0,0.265
100201,M,1,employed,21815.0,0.438
100202,F,0,retired,21271.0,0.146
100203,F,0,student,252.0,0.757
100204,F,0,employed,854060.0,0.042
100205,F,1,employed,61016.0,0.709
100206,F,1,employed,24755.0,0.374
100207,M,0,employed,38370.0,0.127
100208,M,1,retired,46041.0,0.129
100209,M,1,employed,59522.0,0.417
100210,M,0,employed,35031.0,0.233
100211,M,0,student,11380.0,0.795
100212,F,1,employed,157194.0,0.365
100213,M,1,employed,54057.0,0.193
100214,M,1,employed,91080.0,0.42
100215,M,1,employed,25550.0,0.672
100216,M,1,employed,22032.0,0.489
100217,M,1,employed,64459.0,0.394
100218,M,1,employed,33513.0,0.611
100219,F,1,retired,12781.0,0.257
100220,F,1,unemployed,22999.0,0.001
100221,F,1,employed,14710.0,0.489
100222,F,1,retired,11415.0,0.008
100223,M,1,employed,64436.0,0.509
100224,M,0,employed,20917.0,0.597
100225,M,1,employed,31283.0,0.429
100226,M,1,employed,31207.0,0.245
100227,M,1,student,10843.0,0.599
100228,M,1,employed,148566.0,0.459
100229,M,0,retired,18888.0,0.178
100230,M,0,student,5982.0,0.438
100231,F,1,employed,12164.0,0.422
100232,F,0,employed,22062.0,0.283
100233,M,0,student,5931.0,0.729
100234,M,0,employed,16641.0,0.628
100235,M,1,employed,115153.0,0.344
100236,F,1,employed,35682.0,0.131
100237,M,0,unemployed,26600.0,0.503
100238,F,1,unemployed,0.0,0.453
100239,M,0,student,3976.0,0.991
100240,F,0,employed,27112.0,0.311
100241,F,0,student,13347.0,0.313
100242,F,0,employed,30369.0,0.245
100243,M,1,unemployed,0.0,0.036
100244,F,1,employed,18983.0,0.69
100245,F,1,employed,152785.0,0.106
100246,F,0,unemployed,24588.0,0.494
100247,F,1,employed,26336.0,0.433
100248,M,1,employed,28798.0,0.071
100249,M,0,student,9615.0,0.562
100250,F,1,unemployed,0.0,0.178
100251,M,1,employed,76893.0,0.396
100252,M,0,employed,49820.0,0.591
100253,M,0,employed,98401.0,0.565
100254,M,1,employed,23769.0,0.609
100255,M,0,employed,114586.0,0.345
100256,M,1,retired,56833.0,0.008
100257,F,0,employed,19719.0,0.41
100258,M,0,employed,22498.0,0.096
100259,M,1,employed,50199.0,0.598
100260,M,0,student,6795.0,0.878
100261,M,1,employed,37736.0,0.37
100262,F,0,employed,19574.0,0.223
100263,M,0,student,14908.0,0.409
100264,F,0,employed,27107.0,0.537
100265,M,1,retired,23117.0,0.168
100266,M,1,retired,35428.0,0.086
100267,M,0,employed,62764.0,0.639
100268,F,1,retired,40964.0,0.118
100269,F,1,unemployed,20987.0,0.126
100270,F,1,unemployed,22411.0,0.51
100271,M,1,employed,34798.0,0.111
100272,F,0,employed,16428.0,0.532
100273,F,1,employed,219973.0,0.505
100274,M,1,employed,46045.0,0.015
100275,F,0,employed,74154.0,0.293
100276,M,1,student,0.0,0.086
100277,F,1,student,17624.0,0.008
100278,F,1,employed,22941.0,0.593
100279,F,0,student,10978.0,0.467
100280,M,1,retired,51140.0,0.222
100281,F,1,retired,19275.0,0.094
100282,M,1,employed,16003.0,0.44
100283,F,1,employed,20982.0,0.16
100284,F,1,employed,34574.0,0.357
100285,M,1,unemployed,26776.0,0.513
100286,F,1,employed,18468.0,0.287
100287,M,1,unemployed,27313.0,0.358
100288,M,1,employed,27184.0,0.214
100289,F,1,unemployed,19825.0,0.152
100290,F,0,retired,12566.0,0.136
100291,F,1,employed,15520.0,0.465
100292,F,0,unemployed,22121.0,0.605
100293,F,1,student,15904.0,0.515
100294,F,1,unemployed,20609.0,0.637
100295,F,1,student,12948.0,0.856
100296,F,1,employed,25808.0,0.577
100297,F,1,retired,22488.0,0.232
100298,M,0,student,14145.0,0.782
100299,M,1,employed,23169.0,0.324
100300,M,1,unemployed,23882.0,0.008
100301,M,0,employed,28312.0,0.017
100302,F,1,employed,20770.0,0.088
100303,F,1,employed,18440.0,0.631
100304,M,1,retired,21797.0,0.066
100305,M,1,employed,41995.0,0.394
100306,F,1,employed,17316.0,0.388
100307,F,1,retired,30501.0,0.033
100308,F,1,employed,28747.0,0.636
100309,M,1,employed,56463.0,0.485
100310,F,0,unemployed,16904.0,0.511
100311,F,1,unemployed,22437.0,0.131
100312,F,1,employed,33443.0,0.731
100313,M,0,retired,28989.0,0.052
100314,M,0,student,9893.0,0.149
100315,M,1,unemployed,29714.0,0.166
100316,M,0,retired,37359.0,0.171
100317,F,0,retired,43783.0,0.112
100318,F,1,employed,333749.0,0.419
100319,F,0,unemployed,21899.0,0.325
100320,F,1,unemployed,22643.0,0.324
100321,F,1,employed,35602.0,0.555
100322,M,0,employed,28159.0,0.302
100323,F,1,employed,17827.0,0.253
100324,M,1,retired,27096.0,0.175
100325,M,0,student,7777.0,0.433
100326,F,1,employed,19619.0,0.126
100327,M,1,employed,31647.0,0.067
100328,M,0,unemployed,24899.0,0.044
100329,M,1,employed,28437.0,0.343
100330,M,1,unemployed,30905.0,0.324
100331,M,1,employed,45057.0,0.388
100332,F,0,employed,164072.0,0.619
100333,M,1,employed,27096.0,0.561
100334,M,1,unemployed,23762.0,0.108
100335,M,0,employed,51240.0,0.576
100336,F,1,retired,24971.0,0.269
100337,M,0,student,11769.0,0.609
100338,M,1,employed,36238.0,0.357
100339,M,1,employed,23355.0,0.4
100340,M,1,employed,55079.0,0.596
100341,M,1,employed,53286.0,0.046
100342,F,0,student,9916.0,0.316
100343,M,0,student,13142.0,0.401
100344,M,1,employed,32607.0,0.133
100345,M,1,employed,29424.0,0.269
100346,M,1,employed,48227.0,0.519
100347,M,1,employed,45909.0,0.153
100348,F,1,retired,17693.0,0.105
100349,M,1,employed,75596.0,0.449
100350,F,1,student,11184.0,0.712
100351,F,1,employed,48561.0,0.422
100352,F,1,employed,19009.0,0.431
100353,M,0,student,12247.0,0.776
100354,M,1,employed,41913.0,0.111
100355,F,0,employed,239096.0,0.489
100356,M,1,unemployed,22451.0,0.562
100357,F,1,employed,20936.0,0.479
100358,F,0,employed,28764.0,0.376
100359,M,1,employed,24382.0,0.632
100360,F,1,employed,36583.0,0.501
100361,F,0,employed,18008.0,0.68
100362,F,0,employed,26608.0,0.477
100363,F,1,employed,13771.0,0.561
100364,F,1,employed,209181.0,0.078
100365,M,1,retired,24543.0,0.235
100366,M,1,employed,23346.0,0.369
100367,F,0,employed,10843.0,0.353
100368,F,0,student,0.0,0.639
100369,F,1,retired,12458.0,0.151
100370,F,0,unemployed,22100.0,0.333
100371,M,0,employed,454486.0,0.636
100372,F,0,retired,33975.0,0.049
100373,F,0,student,10853.0,0.467
100374,F,1,unemployed,25293.0,0.488
100375,M,0,employed,30403.0,0.398
100376,M,1,employed,20404.0,0.669
100377,M,0,student,18111.0,0.854
100378,F,1,student,25057.0,0.923
100379,F,1,employed,49021.0,0.54
100380,M,1,employed,21117.0,0.233
100381,F,0,employed,48447.0,0.657
100382,M,1,employed,20360.0,0.56
100383,F,0,employed,18774.0,0.188
100384,M,1,employed,26895.0,0.732
100385,F,0,unemployed,26601.0,0.599
100386,M,0,employed,103522.0,0.652
100387,F,1,unemployed,0.0,0.108
100388,M,1,unemployed,23444.0,0.522
100389,M,1,employed,43568.0,0.077
100390,M,0,employed,21593.0,0.505
100391,M,1,retired,33089.0,0.2
100392,F,0,student,8186.0,0.709
100393,M,0,student,14018.0,0.343
100394,F,1,employed,87070.0,0.054
100395,F,1,employed,37216.0,0.583
100396,F,1,retired,10969.0,0.213
100397,M,1,employed,22463.0,0.28
100398,M,0,employed,21451.0,0.232
100399,M,1,employed,49264.0,0.386
100400,F,0,unemployed,24204.0,0.238
100401,F,1,employed,27370.0,0.016
100402,M,1,employed,126942.0,0.234
100403,M,1,employed,20907.0,0.212
100404,M,1,employed,73583.0,0.412
100405,F,1,retired,25341.0,0.175
100406,M,0,student,7406.0,0.528
100407,M,0,employed,50682.0,0.572
100408,M,0,student,15566.0,0.817
100409,M,0,student,13412.0,0.597
100410,F,1,employed,18551.0,0.468
100411,F,0,employed,236691.0,0.487
100412,M,1,employed,24011.0,0.359
100413,F,0,retired,29874.0,0.135
100414,M,0,employed,74093.0,0.299
100415,M,1,retired,22449.0,0.253
100416,F,0,student,13284.0,0.384
100417,F,0,student,0.0,0.699
100418,F,1,employed,25718.0,0.41
100419,M,0,student,6929.0,0.628
100420,M,0,student,6284.0,0.643
100421,M,0,student,0.0,0.538
100422,M,0,retired,56688.0,0.033
100423,M,1,unemployed,20693.0,0.315
100424,F,0,employed,68311.0,0.145
100425,M,1,student,15409.0,0.113
100426,M,0,retired,53811.0,0.151
100427,M,1,unemployed,25032.0,0.639
100428,M,1,employed,241531.0,0.456
100429,F,1,unemployed,23098.0,0.012
100430,M,0,student,10185.0,0.935
100431,M,1,retired,16159.0,0.202
100432,F,0,student,0.0,0.781
100433,M,1,employed,46063.0,0.697
100434,M,0,employed,23059.0,0.429
100435,M,1,employed,29395.0,0.19
100436,M,1,employed,21214.0,0.389
100437,F,1,unemployed,0.0,0.468
100438,M,1,unemployed,0.0,0.373
100439,M,1,retired,16412.0,0.186
100440,F,0,student,11871.0,0.96
100441,M,0,student,5404.0,0.14
100442,M,0,employed,23644.0,0.296
100443,M,1,employed,86487.0,0.009
100444,M,1,employed,15471.0,0.127
100445,F,0,retired,39155.0,0.087
100446,F,1,employed,39640.0,0.591
100447,F,0,unemployed,23715.0,0.631
100448,M,0,employed,43917.0,0.239
100449,M,1,employed,45022.0,0.04
100450,M,1,employed,21470.0,0.512
100451,F,1,employed,16503.0,0.186
100452,M,1,employed,18753.0,0.118
100453,F,1,employed,23504.0,0.464
100454,F,1,unemployed,24044.0,0.509
100455,F,1,employed,28303.0,0.387
100456,M,0,student,3885.0,0.372
100457,M,1,employed,18159.0,0.54
100458,F,0,employed,33342.0,0.494
100459,M,1,employed,61602.0,0.167
100460,M,1,employed,44732.0,0.022
100461,F,1,employed,24472.0,0.263
100462,M,1,employed,21601.0,0.446
100463,M,1,employed,86757.0,0.167
100464,F,0,employed,35396.0,0.478
100465,F,1,retired,12925.0,0.014
100466,M,1,retired,44979.0,0.12
100467,M,0,student,0.0,0.497
100468,F,0,student,7011.0,0.845
100469,M,1,employed,21557.0,0.609
100470,M,0,employed,11668.0,0.561
100471,F,1,retired,25609.0,0.055
100472,M,1,employed,47503.0,0.481
100473,M,1,employed,22096.0,0.447
100474,F,1,employed,17100.0,0.281
100475,M,1,retired,45193.0,0.253
100476,M,1,employed,37249.0,0.317
100477,M,0,student,17887.0,0.464
100478,M,1,unemployed,27135.0,0.491
100479,M,1,employed,44901.0,0.39
100480,F,1,employed,39544.0,0.052
100481,M,0,student,0.0,0.651
100482,F,1,employed,49875.0,0.294
100483,F,1,unemployed,22104.0,0.089
100484,F,1,employed,56932.0,0.167
100485,F,1,retired,17043.0,0.125
100486,M,1,employed,23861.0,0.649
100487,F,0,student,1344.0,0.329
100488,M,1,employed,134674.0,0.661
100489,F,1,employed,42332.0,0.411
100490,F,0,employed,42328.0,0.486
100491,F,1,employed,18511.0,0.117
100492,F,1,employed,14703.0,0.536
100493,M,1,employed,27510.0,0.297
100494,M,0,student,18007.0,0.36
100495,F,1,retired,21579.0,0.13
100496,M,1,employed,157888.0,0.427
100497,M,0,student,3113.0,0.079
100498,F,1,employed,24537.0,0.001
100499,F,1,employed,15893.0,0.266
100500,M,1,unemployed,24260.0,0.499
100501,M,1,employed,78390.0,0.346
100502,F,1,employed,33344.0,0.561
100503,M,1,retired,49947.0,0.082
100504,M,0,student,7699.0,0.058
100505,F,0,student,12242.0,0.539
100506,F,1,unemployed,25460.0,0.531
100507,M,1,employed,56745.0,0.426
100508,F,1,unemployed,0.0,0.311
100509,F,1,employed,30281.0,0.063
100510,F,1,retired,26615.0,0.219
100511,F,0,unemployed,23314.0,0.003
100512,F,0,employed,24487.0,0.437
100513,M,1,retired,42267.0,0.138
100514,M,1,employed,26566.0,0.499
100515,F,1,unemployed,23374.0,0.239
100516,M,1,retired,18039.0,0.192
100517,F,0,employed,58514.0,0.265
100518,M,0,employed,41242.0,0.425
100519,M,0,student,0.0,0.582
100520,F,0,employed,34599.0,0.713
100521,M,1,employed,50001.0,0.217
100522,M,1,employed,35461.0,0.505
100523,M,0,employed,407974.0,0.265
100524,F,1,employed,109043.0,0.54
100525,M,0,student,17705.0,0.752
100526,M,1,employed,26513.0,0.365
100527,M,1,employed,14925.0,0.434
100528,M,1,employed,37618.0,0.612
100529,F,0,student,3624.0,0.938
100530,F,1,employed,17800.0,0.227
100531,M,1,employed,32694.0,0.586
100532,F,1,employed,17974.0,0.052
100533,M,1,employed,101428.0,0.053
100534,F,0,student,7514.0,0.83
100535,M,1,employed,64907.0,0.401
100536,F,1,employed,16315.0,0.601
100537,M,1,unemployed,28473.0,0.589
100538,M,1,employed,34648.0,0.393
100539,M,1,student,0.0,0.88
100540,M,1,employed,66943.0,0.539
100541,F,1,employed,13181.0,0.168
100542,F,0,employed,35689.0,0.574
100543,M,0,student,2592.0,0.205
100544,F,0,employed,64302.0,0.157
100545,M,0,student,5931.0,0.2
100546,F,1,employed,32519.0,0.153
100547,M,1,employed,21634.0,0.262
100548,M,1,employed,29060.0,0.473
100549,F,0,employed,51160.0,0.112
100550,F,0,unemployed,19625.0,0.386
100551,M,0,student,32301.0,0.709
100552,F,1,student,13996.0,0.534
100553,M,1,employed,24826.0,0.539
100554,M,1,unemployed,18911.0,0.17
100555,M,1,employed,24773.0,0.403
100556,F,0,employed,21288.0,0.438
100557,F,0,student,0.0,0.683
100558,F,0,student,0.0,0.587
100559,F,1,unemployed,25282.0,0.188
100560,M,1,employed,23586.0,0.484
100561,M,1,unemployed,23972.0,0.263
100562,M,0,retired,54303.0,0.153
100563,F,0,employed,77015.0,0.319
100564,F,0,student,0.0,0.599
100565,M,0,student,3858.0,0.143
100566,M,1,employed,30199.0,0.324
100567,F,0,student,10761.0,0.667
100568,F,1,employed,125100.0,0.141
100569,M,1,employed,34341.0,0.203
100570,M,1,student,6370.0,0.668
100571,M,0,unemployed,24584.0,0.232
100572,F,1,employed,18805.0,0.195
100573,M,1,unemployed,28350.0,0.447
100574,F,1,employed,17744.0,0.469
100575,F,0,student,11897.0,0.233
100576,M,1,employed,18301.0,0.631
100577,M,0,student,0.0,0.412
100578,F,1,retired,16785.0,0.098
100579,F,0,student,19716.0,0.838
100580,M,1,employed,44798.0,0.416
100581,M,0,student,3031.0,0.036
100582,M,1,employed,39776.0,0.347
100583,M,0,student,0.0,0.291
100584,F,1,employed,56712.0,0.287
100585,M,0,student,17874.0,0.444
100586,F,1,employed,41859.0,0.428
100587,M,1,employed,111589.0,0.256
100588,M,1,student,0.0,0.512
100589,M,0,student,18211.0,0.809
100590,F,0,retired,20502.0,0.156
100591,F,0,student,7777.0,0.725
100592,M,1,employed,104632.0,0.108
100593,F,1,employed,11270.0,0.358
100594,F,1,unemployed,21808.0,0.456
100595,M,0,student,8055.0,0.442
100596,M,1,employed,22926.0,0.402
100597,M,1,retired,31567.0,0.174
100598,F,1,unemployed,21733.0,0.346
100599,F,1,employed,24642.0,0.35
100600,M,1,employed,23715.0,0.51
100601,M,0,student,18773.0,0.499
100602,M,1,employed,32207.0,0.235
100603,F,1,employed,35780.0,0.461
100604,M,1,retired,36728.0,0.148
100605,M,1,retired,26665.0,0.098
100606,M,0,student,9707.0,0.133
100607,M,1,employed,15451.0,0.44
100608,M,1,employed,24167.0,0.19
100609,M,1,employed,106560.0,0.571
100610,M,0,student,11598.0,0.82
100611,M,0,student,14083.0,0.491
100612,F,1,employed,26652.0,0.216
100613,F,1,unemployed,21689.0,0.471
100614,F,1,employed,39401.0,0.311
100615,M,0,retired,37365.0,0.202
100616,F,0,employed,50025.0,0.585
100617,M,1,employed,80072.0,0.566
100618,F,1,employed,18561.0,0.251
100619,F,1,employed,10515.0,0.438
100620,M,1,employed,24450.0,0.532
100621,F,1,employed,272640.0,0.532
100622,F,1,employed,37501.0,0.112
100623,M,1,employed,10095.0,0.009
100624,F,0,student,17597.0,0.955
100625,F,0,employed,31995.0,0.229
100626,F,1,employed,23502.0,0.34
100627,M,1,employed,203326.0,0.572
100628,M,0,student,0.0,0.709
100629,F,0,employed,42751.0,0.309
100630,F,1,employed,19565.0,0.509
100631,M,0,retired,15019.0,0.227
100632,M,1,retired,53417.0,0.038
100633,M,1,employed,20034.0,0.059
100634,F,0,student,9950.0,0.353
100635,F,0,student,7343.0,0.96
100636,M,1,retired,29349.0,0.187
100637,F,0,student,0.0,0.056
100638,F,1,employed,24379.0,0.366
100639,M,0,student,11138.0,0.741
100640,F,0,student,7670.0,0.295
100641,F,1,employed,19920.0,0.347
100642,M,0,employed,14211.0,0.349
100643,M,1,unemployed,27552.0,0.003
100644,F,1,employed,251988.0,0.379
100645,F,1,unemployed,21860.0,0.493
100646,F,1,employed,24725.0,0.016
100647,F,1,retired,21190.0,0.111
100648,M,1,employed,41301.0,0.507
100649,M,1,unemployed,0.0,0.188
100650,M,0,employed,35426.0,0.529
100651,F,1,retired,13877.0,0.084
100652,F,1,employed,15820.0,0.273
100653,F,1,unemployed,24934.0,0.545
100654,F,1,employed,6278.0,0.285
100655,F,0,student,8248.0,0.029
100656,F,0,unemployed,0.0,0.554
100657,F,0,employed,124093.0,0.273
100658,M,1,employed,31287.0,0.563
100659,F,1,employed,26013.0,0.416
100660,M,0,retired,16997.0,0.279
100661,M,0,employed,23888.0,0.706
100662,F,0,employed,27037.0,0.103
100663,F,0,student,14963.0,0.484
100664,M,0,employed,90686.0,0.588
100665,F,1,employed,22026.0,0.116
100666,F,0,employed,34876.0,0.159
100667,M,1,employed,38583.0,0.424
100668,M,1,employed,80266.0,0.419
100669,F,0,employed,9135.0,0.468
100670,M,1,employed,618406.0,0.228
100671,M,1,employed,23533.0,0.578
100672,M,1,employed,20337.0,0.064
100673,F,0,employed,33842.0,0.353
100674,F,1,employed,28820.0,0.564
100675,M,0,student,15452.0,0.645
100676,M,0,retired,19729.0,0.028
100677,F,1,retired,130769.0,0.167
100678,F,1,retired,25572.0,0.056
100679,M,0,student,8877.0,0.82
100680,M,1,employed,37866.0,0.525
100681,M,0,student,15284.0,0.417
100682,F,1,employed,130116.0,0.214
100683,M,1,unemployed,25471.0,0.573
100684,M,1,employed,13860.0,0.083
100685,F,0,student,10051.0,0.451
100686,M,0,employed,27985.0,0.122
100687,M,1,employed,23906.0,0.358
100688,M,1,unemployed,0.0,0.272
100689,M,1,unemployed,22034.0,0.064
100690,M,1,employed,31583.0,0.305
100691,M,0,student,4418.0,0.311
100692,M,1,retired,57845.0,0.093
100693,M,0,student,0.0,0.011
100694,M,1,employed,47064.0,0.499
100695,F,0,retired,28929.0,0.263
100696,M,0,employed,23167.0,0.633
100697,F,1,employed,25748.0,0.446
100698,M,1,unemployed,19662.0,0.408
100699,M,1,employed,29130.0,0.572
100700,M,1,employed,33989.0,0.433
100701,F,1,employed,76133.0,0.58
100702,F,1,employed,25348.0,0.472
100703,F,1,employed,92971.0,0.398
100704,M,1,employed,22358.0,0.449
100705,M,1,employed,32483.0,0.411
100706,F,0,retired,47445.0,0.225
100707,F,0,unemployed,20448.0,0.588
100708,F,1,retired,21061.0,0.089
100709,M,0,employed,30501.0,0.131
100710,M,0,student,0.0,0.69
100711,F,0,student,16614.0,0.563
100712,M,1,employed,39292.0,0.683
100713,F,1,employed,35107.0,0.466
100714,M,0,retired,79292.0,0.204
100715,M,0,retired,15789.0,0.179
100716,F,1,employed,52336.0,0.455
100717,F,0,student,0.0,0.86
100718,M,1,employed,51539.0,0.219
100719,M,1,employed,19656.0,0.246
100720,M,1,employed,27697.0,0.413
100721,M,1,employed,33516.0,0.128
100722,F,1,employed,30093.0,0.308
100723,M,1,unemployed,28867.0,0.29
100724,M,1,employed,54335.0,0.442
100725,F,1,employed,26585.0,0.453
100726,F,0,employed,27151.0,0.619
100727,M,0,employed,57164.0,0.388
100728,M,1,employed,61702.0,0.003
100729,M,1,employed,41050.0,0.292
100730,M,1,employed,51328.0,0.167
100731,F,1,employed,23783.0,0.119
100732,M,1,employed,22911.0,0.047
100733,F,1,unemployed,22923.0,0.393
100734,F,1,employed,38466.0,0.491
