id,sex,married,employment,income,digital1
200185,F,1,unemployed,24401.0,0.537
200186,M,0,unemployed,0.0,0.152
200187,M,0,employed,31932.0,0.488
200188,M,1,employed,28835.0,0.118
200189,M,1,employed,37211.0,0.453
200190,M,0,student,0.0,0.478
200191,M,0,student,16047.0,0.386
200192,M,0,student,20478.0,0.934
200193,F,0,retired,20987.0,0.094
200194,F,0,employed,11842.0,0.353
200195,M,1,retired,20380.0,0.032
200196,M,1,employed,53472.0,0.081
200197,M,1,employed,22353.0,0.147
200198,M,0,employed,50249.0,0.289
200199,M,0,employed,48613.0,0.299
200200,M,1,employed,16290.0,0.019
200201,M,0,employed,22725.0,0.583
200202,M,0,employed,32421.0,0.13
200203,M,1,employed,31278.0,0.03
200204,M,0,employed,23847.0,0.246
200205,M,1,employed,26066.0,0.521
200206,F,1,unemployed,0.0,0.023
200207,M,0,student,3389.0,0.664
200208,F,1,retired,11809.0,0.001
200209,M,1,employed,22385.0,0.511
200210,M,0,student,9875.0,0.052
200211,F,0,student,18049.0,0.661
200212,F,1,unemployed,20815.0,0.666
200213,F,1,employed,17289.0,0.307
200214,F,0,employed,22120.0,0.202
200215,M,0,student,2135.0,0.035
200216,M,1,employed,439731.0,0.481
200217,F,1,unemployed,20489.0,0.491
200218,M,1,employed,24889.0,0.534
200219,M,1,employed,46921.0,0.61
200220,F,0,retired,61963.0,0.075
200221,M,0,student,9710.0,0.906
200222,M,1,employed,18256.0,0.57
200223,M,0,employed,18215.0,0.215
200224,F,1,employed,49014.0,0.236
200225,M,0,employed,49609.0,0.523
200226,F,1,employed,20897.0,0.369
200227,M,1,employed,32332.0,0.28
200228,M,1,employed,69562.0,0.59
200229,F,1,unemployed,23162.0,0.232
200230,M,0,student,20152.0,0.878
200231,F,1,employed,26511.0,0.186
200232,M,1,employed,52205.0,0.019
200233,M,1,employed,21504.0,0.157
200234,F,0,student,15200.0,0.461
200235,M,1,employed,41815.0,0.474
200236,M,1,unemployed,24008.0,0.157
200237,M,1,employed,21459.0,0.557
200238,F,1,employed,18073.0,0.242
200239,F,1,unemployed,25276.0,0.506
200240,F,0,retired,33144.0,0.22
200241,M,0,employed,57880.0,0.64
200242,M,1,employed,19342.0,0.235
200243,M,1,employed,71023.0,0.35
200244,M,1,employed,29982.0,0.489
200245,M,1,unemployed,29979.0,0.25
200246,F,1,employed,16948.0,0.604
200247,M,0,student,1602.0,0.759
200248,F,0,student,0.0,0.297
200249,M,1,employed,29079.0,0.361
200250,F,1,employed,22440.0,0.256
200251,M,1,employed,14081.0,0.517
200252,F,1,employed,19161.0,0.131
200253,F,1,unemployed,22669.0,0.202
200254,M,1,employed,25170.0,0.284
200255,M,0,employed,47457.0,0.62
200256,M,1,retired,43719.0,0.209
200257,M,1,unemployed,26882.0,0.689
200258,M,1,employed,22920.0,0.102
200259,F,1,employed,49619.0,0.527
200260,M,1,employed,42416.0,0.333
200261,M,1,retired,25238.0,0.17
200262,M,0,student,6489.0,0.693
200263,M,1,employed,43624.0,0.008
200264,M,1,employed,18935.0,0.533
200265,M,0,student,6876.0,0.824
200266,F,0,unemployed,24430.0,0.282
200267,F,1,retired,377048.0,0.145
200268,M,1,employed,343933.0,0.01
200269,M,1,retired,36829.0,0.249
200270,M,1,employed,67478.0,0.167
200271,F,1,unemployed,26394.0,0.62
200272,M,1,retired,19913.0,0.199
200273,F,1,employed,19207.0,0.514
200274,F,0,employed,110813.0,0.497
200275,M,0,student,4120.0,0.64
200276,F,1,employed,32796.0,0.585
200277,M,0,student,14204.0,0.127
200278,M,0,retired,34243.0,0.104
200279,F,1,employed,61992.0,0.048
200280,M,0,student,6175.0,0.38
200281,F,1,employed,23334.0,0.398
200282,M,1,employed,46838.0,0.513
200283,M,0,retired,31593.0,0.163
200284,M,1,employed,12525.0,0.131
200285,F,0,student,16352.0,0.141
200286,M,1,retired,17842.0,0.075
200287,M,1,unemployed,32735.0,0.14
200288,F,1,unemployed,21165.0,0.669
200289,M,1,employed,21009.0,0.576
200290,M,1,unemployed,25677.0,0.548
200291,M,0,student,2081.0,0.894
200292,M,0,employed,40115.0,0.374
200293,M,1,employed,158078.0,0.362
200294,M,0,unemployed,21775.0,0.178
200295,F,0,student,11133.0,0.081
200296,F,0,student,17738.0,0.245
200297,M,0,employed,39395.0,0.081
200298,M,1,employed,40461.0,0.392
200299,F,1,employed,22924.0,0.223
200300,F,1,employed,56329.0,0.597
200301,M,1,employed,7981.0,0.195
200302,F,1,employed,25932.0,0.245
200303,M,0,retired,22594.0,0.143
200304,M,0,student,7281.0,0.371
200305,M,1,unemployed,23714.0,0.586
200306,M,0,employed,17291.0,0.145
200307,M,0,student,6019.0,0.223
200308,M,1,unemployed,0.0,0.393
200309,M,1,retired,43960.0,0.246
200310,F,0,employed,19215.0,0.093
200311,F,0,employed,21747.0,0.08
200312,M,0,student,0.0,0.848
200313,F,1,employed,63455.0,0.466
200314,F,1,unemployed,23916.0,0.311
200315,M,0,employed,101807.0,0.122
200316,F,1,employed,59221.0,0.159
200317,M,0,student,0.0,0.856
200318,F,1,employed,23347.0,0.598
200319,M,0,student,4307.0,0.637
200320,F,1,employed,8921.0,0.284
200321,M,1,employed,21820.0,0.17
200322,M,1,retired,46459.0,0.218
200323,M,1,employed,79372.0,0.511
200324,F,1,unemployed,26230.0,0.281
200325,F,1,retired,11230.0,0.244
200326,F,0,unemployed,25082.0,0.247
200327,F,1,employed,38707.0,0.261
200328,M,1,retired,42388.0,0.223
200329,M,1,employed,39626.0,0.21
200330,M,1,employed,13336.0,0.141
200331,M,0,student,16421.0,0.73
200332,F,0,unemployed,0.0,0.492
200333,M,0,employed,34862.0,0.182
200334,F,1,retired,39271.0,0.12
200335,F,1,employed,12902.0,0.055
200336,F,0,employed,91530.0,0.113
200337,M,1,employed,51565.0,0.104
200338,M,1,employed,20878.0,0.493
200339,M,0,employed,21109.0,0.289
200340,M,0,retired,38129.0,0.139
200341,M,1,employed,11603.0,0.434
200342,F,0,employed,12099.0,0.1
200343,M,1,retired,20614.0,0.022
200344,F,0,student,4530.0,0.648
200345,F,1,employed,22423.0,0.504
200346,M,1,employed,23070.0,0.435
200347,F,0,student,14109.0,0.523
200348,M,1,employed,37015.0,0.588
200349,M,1,employed,39159.0,0.213
200350,F,1,employed,17415.0,0.459
200351,M,1,employed,36548.0,0.061
200352,M,1,employed,32178.0,0.449
200353,M,1,retired,39792.0,0.166
200354,F,0,employed,56160.0,0.419
200355,M,0,employed,43441.0,0.352
200356,M,0,student,6905.0,0.076
200357,M,0,student,0.0,0.384
200358,F,1,retired,83505.0,0.242
200359,M,1,retired,65363.0,0.18
200360,M,1,employed,28978.0,0.072
200361,F,0,employed,18535.0,0.319
200362,F,1,retired,10663.0,0.267
200363,F,1,student,692.0,0.406
200364,M,1,employed,20362.0,0.416
200365,M,1,employed,37533.0,0.275
200366,M,0,student,1758.0,0.967
200367,F,0,employed,24386.0,0.412
200368,F,1,retired,24437.0,0.219
200369,F,1,retired,21048.0,0.06
200370,F,0,employed,72621.0,0.544
200371,M,0,retired,15128.0,0.142
200372,M,0,student,0.0,0.117
200373,F,1,employed,19803.0,0.191
200374,M,1,employed,13620.0,0.504
200375,F,1,retired,22580.0,0.179
200376,M,1,employed,111073.0,0.536
200377,F,1,retired,29787.0,0.115
200378,F,1,employed,15994.0,0.545
200379,M,1,retired,21848.0,0.199
200380,F,1,unemployed,0.0,0.083
200381,F,0,student,10791.0,0.375
200382,M,1,employed,67988.0,0.364
200383,M,0,employed,21125.0,0.663
200384,M,0,retired,107978.0,0.147
200385,F,1,student,14142.0,0.789
200386,M,0,unemployed,21948.0,0.338
200387,F,0,retired,24635.0,0.003
200388,M,1,unemployed,26816.0,0.447
200389,F,1,employed,69608.0,0.355
200390,M,1,retired,18134.0,0.2
200391,M,0,employed,22450.0,0.269
200392,M,1,employed,31110.0,0.599
200393,F,1,employed,34952.0,0.297
200394,M,1,employed,34079.0,0.53
200395,M,1,employed,27467.0,0.336
200396,F,1,retired,20847.0,0.1
200397,M,1,employed,242681.0,0.53
200398,F,1,unemployed,21496.0,0.077
200399,M,0,employed,38391.0,0.054
200400,F,0,student,2038.0,0.83
200401,F,1,retired,18552.0,0.213
200402,F,1,employed,21847.0,0.485
200403,M,1,employed,73141.0,0.012
200404,F,0,retired,48355.0,0.186
200405,M,1,unemployed,25910.0,0.259
200406,F,1,employed,20421.0,0.085
200407,F,0,employed,52259.0,0.442
200408,M,1,student,14978.0,0.324
200409,M,1,retired,39459.0,0.22
200410,F,1,employed,26573.0,0.524
200411,F,1,employed,24546.0,0.24
200412,M,1,employed,22363.0,0.509
200413,M,1,retired,32679.0,0.161
200414,M,1,employed,25366.0,0.679
200415,F,1,student,0.0,0.51
200416,F,1,employed,22849.0,0.078
200417,M,0,employed,25126.0,0.117
200418,F,0,student,0.0,0.951
200419,F,0,unemployed,25465.0,0.287
200420,M,0,retired,26198.0,0.085
200421,F,0,student,0.0,0.155
200422,M,1,retired,37533.0,0.198
200423,F,0,student,20086.0,0.507
200424,M,1,unemployed,0.0,0.26
200425,M,1,employed,63270.0,0.423
200426,M,1,employed,38041.0,0.737
200427,M,1,employed,33224.0,0.641
200428,M,1,unemployed,28342.0,0.104
200429,F,0,employed,20265.0,0.062
200430,M,0,employed,63561.0,0.53
200431,F,0,unemployed,0.0,0.372
200432,M,1,employed,21388.0,0.542
200433,F,1,employed,20100.0,0.431
200434,M,1,unemployed,0.0,0.546
200435,M,0,unemployed,24431.0,0.17
200436,F,0,unemployed,23293.0,0.373
200437,F,1,employed,74242.0,0.637
200438,F,0,student,0.0,0.88
200439,M,1,employed,1000000.0,0.562
200440,M,1,employed,52915.0,0.282
200441,M,1,student,0.0,0.314
200442,F,1,employed,14375.0,0.225
200443,F,0,unemployed,23859.0,0.597
200444,M,1,employed,69532.0,0.509
200445,F,1,retired,25995.0,0.11
200446,M,1,employed,33858.0,0.346
200447,F,1,employed,20907.0,0.676
200448,M,0,employed,70413.0,0.334
200449,M,1,unemployed,0.0,0.246
200450,M,0,employed,18216.0,0.371
200451,F,0,student,25218.0,0.101
200452,M,0,student,12857.0,0.852
200453,F,1,employed,22322.0,0.387
200454,M,1,employed,13678.0,0.547
200455,M,0,employed,24061.0,0.562
200456,M,1,employed,20561.0,0.025
200457,M,1,retired,28428.0,0.158
200458,M,0,student,0.0,0.338
200459,M,0,employed,90385.0,0.04
200460,F,1,unemployed,24113.0,0.582
200461,F,1,retired,21780.0,0.104
200462,M,1,employed,471453.0,0.463
200463,F,1,employed,42689.0,0.514
200464,M,0,employed,31507.0,0.088
200465,F,1,employed,27124.0,0.061
200466,M,1,employed,34910.0,0.359
200467,M,1,employed,39870.0,0.285
200468,F,1,employed,23892.0,0.49
200469,M,1,unemployed,28280.0,0.404
200470,M,1,employed,50150.0,0.65
200471,M,0,student,12670.0,0.241
200472,F,0,employed,21578.0,0.368
200473,F,1,employed,32475.0,0.279
200474,F,1,employed,16188.0,0.373
200475,F,1,employed,29544.0,0.254
200476,M,0,employed,77941.0,0.648
200477,F,0,employed,21687.0,0.232
200478,M,1,employed,23984.0,0.279
200479,M,0,employed,23567.0,0.13
200480,M,1,employed,56529.0,0.148
200481,F,0,employed,56908.0,0.661
200482,M,0,student,18477.0,0.157
200483,M,1,employed,36420.0,0.342
200484,M,0,employed,33507.0,0.383
200485,M,1,employed,60296.0,0.495
200486,F,1,employed,19149.0,0.281
200487,M,0,employed,38244.0,0.327
200488,F,0,student,0.0,0.359
200489,M,1,employed,21353.0,0.564
200490,F,0,retired,34620.0,0.086
200491,F,1,student,10796.0,0.419
200492,M,1,employed,41190.0,0.191
200493,F,0,employed,21835.0,0.246
200494,M,0,employed,38056.0,0.581
200495,M,1,employed,146232.0,0.293
200496,F,1,employed,14993.0,0.12
200497,F,1,employed,53409.0,0.617
200498,M,1,employed,54392.0,0.531
200499,M,1,employed,25771.0,0.201
200500,F,1,employed,10100.0,0.076
200501,M,0,employed,18618.0,0.336
200502,F,0,retired,28325.0,0.113
200503,M,1,employed,18388.0,0.435
200504,F,1,unemployed,20656.0,0.131
200505,M,0,employed,68277.0,0.322
200506,M,1,employed,20318.0,0.35
200507,F,1,retired,20004.0,0.091
200508,F,0,employed,19984.0,0.161
200509,F,0,employed,17694.0,0.601
200510,F,1,employed,10142.0,0.42
200511,M,1,employed,40578.0,0.361
200512,F,1,unemployed,19479.0,0.463
200513,F,0,unemployed,22935.0,0.591
200514,M,1,employed,12189.0,0.345
200515,F,1,employed,17128.0,0.659
200516,M,1,retired,31157.0,0.245
200517,M,1,employed,20869.0,0.386
200518,F,1,employed,37531.0,0.37
200519,M,1,employed,51040.0,0.401
200520,F,0,student,12465.0,0.473
200521,M,1,retired,25525.0,0.099
200522,F,1,employed,80227.0,0.278
200523,F,1,retired,10827.0,0.024
200524,M,1,employed,51778.0,0.383
200525,F,0,employed,44343.0,0.413
200526,M,0,unemployed,26963.0,0.107
200527,M,1,employed,33223.0,0.503
200528,F,0,employed,20257.0,0.56
200529,F,1,employed,12096.0,0.187
200530,M,0,student,0.0,0.77
200531,M,0,student,9222.0,0.073
200532,M,1,unemployed,25083.0,0.235
200533,M,1,employed,66110.0,0.226
200534,M,0,employed,16807.0,0.119
200535,M,1,employed,31560.0,0.289
200536,M,1,unemployed,28917.0,0.259
200537,M,1,employed,13775.0,0.357
200538,M,0,student,10407.0,0.204
200539,M,1,employed,29807.0,0.322
200540,F,0,employed,42675.0,0.552
200541,M,1,employed,25408.0,0.226
200542,M,1,retired,50272.0,0.087
200543,M,0,student,16778.0,0.224
200544,F,1,retired,25464.0,0.187
200545,M,1,employed,34080.0,0.489
200546,M,1,employed,23054.0,0.323
200547,F,1,retired,14185.0,0.075
200548,M,0,employed,50363.0,0.328
200549,F,1,employed,16801.0,0.592
200550,F,1,retired,62109.0,0.134
200551,M,1,employed,23031.0,0.528
200552,M,1,unemployed,24108.0,0.479
200553,M,1,employed,26039.0,0.378
200554,F,1,employed,24082.0,0.243
200555,M,0,student,14008.0,0.711
200556,M,1,employed,24457.0,0.41
200557,M,1,employed,83593.0,0.493
200558,M,1,employed,22709.0,0.311
200559,M,1,employed,630835.0,0.335
200560,M,0,student,4910.0,0.682
200561,F,0,employed,18738.0,0.277
200562,F,1,employed,17541.0,0.483
200563,M,1,unemployed,28337.0,0.493
200564,M,1,unemployed,24824.0,0.5
200565,F,0,student,14068.0,0.385
200566,F,0,employed,17698.0,0.133
200567,M,0,employed,19097.0,0.42
200568,M,1,employed,26580.0,0.279
200569,F,1,unemployed,16877.0,0.398
200570,F,1,employed,29208.0,0.581
200571,M,1,retired,37530.0,0.292
200572,F,0,unemployed,22688.0,0.274
200573,M,1,employed,170858.0,0.264
200574,M,1,employed,23404.0,0.546
200575,F,1,employed,37402.0,0.586
200576,M,0,student,7989.0,0.561
200577,M,1,retired,29454.0,0.154
200578,M,0,student,8396.0,0.036
200579,F,0,retired,81543.0,0.124
200580,M,1,employed,44101.0,0.387
200581,M,1,retired,18862.0,0.192
200582,F,0,unemployed,24270.0,0.467
200583,M,1,employed,23498.0,0.413
200584,M,1,employed,17383.0,0.442
200585,M,1,employed,63510.0,0.363
200586,F,1,unemployed,0.0,0.062
200587,M,0,employed,281311.0,0.557
200588,F,1,employed,28129.0,0.255
200589,F,1,employed,32038.0,0.594
200590,F,1,employed,72119.0,0.687
200591,F,1,retired,17068.0,0.207
200592,M,0,retired,52973.0,0.221
200593,M,1,unemployed,29444.0,0.446
200594,M,0,student,10483.0,0.585
200595,F,0,student,0.0,0.651
200596,F,0,employed,41751.0,0.407
200597,M,1,employed,353056.0,0.49
200598,F,0,student,16209.0,0.569
200599,M,0,employed,30932.0,0.336
200600,M,1,employed,73047.0,0.299
200601,F,0,employed,17471.0,0.281
200602,F,1,employed,18952.0,0.332
200603,F,1,employed,25946.0,0.089
200604,M,1,retired,30778.0,0.099
200605,F,0,student,13138.0,0.9
200606,F,0,student,17196.0,0.577
200607,M,1,employed,25551.0,0.657
200608,M,1,retired,32664.0,0.095
200609,F,0,retired,12286.0,0.253
200610,F,1,employed,16968.0,0.142
200611,M,1,employed,21894.0,0.727
200612,M,1,employed,31018.0,0.56
200613,F,1,retired,10529.0,0.239
200614,F,0,student,0.0,0.91
200615,F,0,student,24659.0,0.582
200616,M,0,employed,33240.0,0.428
200617,F,1,unemployed,26107.0,0.429
200618,M,0,employed,42479.0,0.43
200619,M,1,employed,125770.0,0.315
200620,F,1,retired,27078.0,0.036
200621,M,0,employed,27423.0,0.421
200622,M,1,employed,121275.0,0.522
200623,M,0,student,14555.0,0.136
200624,F,0,retired,25400.0,0.141
200625,M,1,retired,50986.0,0.241
200626,F,1,retired,10549.0,0.14
200627,M,0,student,14245.0,0.655
200628,F,0,student,12055.0,0.411
200629,M,1,employed,19501.0,0.191
200630,F,0,retired,46726.0,0.2
200631,M,1,employed,14768.0,0.602
200632,M,1,employed,36699.0,0.459
200633,F,1,employed,19461.0,0.502
200634,M,1,retired,22960.0,0.221
200635,M,1,employed,37413.0,0.645
200636,F,0,student,0.0,0.804
200637,F,0,retired,41203.0,0.191
200638,F,1,employed,142742.0,0.444
200639,M,1,employed,180684.0,0.42
200640,F,1,employed,22251.0,0.584
200641,M,1,student,13139.0,0.102
200642,M,0,employed,31893.0,0.553
200643,M,1,employed,17804.0,0.322
200644,F,0,student,12972.0,0.938
200645,M,1,employed,16550.0,0.421
200646,F,1,retired,40745.0,0.166
200647,F,0,unemployed,24761.0,0.277
200648,M,0,retired,37532.0,0.113
200649,M,1,employed,23768.0,0.435
200650,F,0,student,13561.0,0.344
200651,M,1,unemployed,23613.0,0.673
200652,M,0,unemployed,24819.0,0.523
200653,F,0,student,22819.0,0.313
200654,M,0,student,22994.0,0.596
200655,M,0,student,4408.0,0.691
200656,M,0,employed,34513.0,0.525
200657,F,1,retired,10892.0,0.204
200658,F,0,student,16502.0,0.852
200659,F,1,employed,24019.0,0.438
200660,M,0,student,18066.0,0.506
200661,F,1,employed,31362.0,0.508
200662,F,1,employed,564570.0,0.547
200663,M,1,employed,37889.0,0.361
200664,F,0,student,13497.0,0.735
200665,M,1,student,17107.0,0.346
200666,F,0,student,10226.0,0.79
200667,M,0,retired,37089.0,0.127
200668,M,1,employed,32024.0,0.503
200669,M,1,employed,47253.0,0.369
200670,M,1,employed,34521.0,0.058
200671,M,0,employed,45556.0,0.482
200672,M,1,employed,55299.0,0.237
200673,M,0,employed,597108.0,0.219
200674,F,0,employed,10234.0,0.273
200675,F,0,unemployed,22790.0,0.172
200676,M,1,employed,16442.0,0.263
200677,M,1,employed,8787.0,0.342
200678,F,1,employed,40926.0,0.386
200679,M,1,employed,22712.0,0.532
200680,M,1,retired,15426.0,0.208
200681,F,1,employed,21932.0,0.626
200682,F,1,retired,36498.0,0.066
200683,M,1,employed,33041.0,0.623
200684,M,1,employed,20647.0,0.511
200685,F,0,unemployed,21789.0,0.226
200686,M,1,retired,21241.0,0.096
200687,M,1,employed,39272.0,0.373
200688,F,0,student,11950.0,0.472
200689,M,0,student,0.0,0.336
200690,M,1,retired,40173.0,0.171
200691,F,0,employed,20507.0,0.383
200692,M,0,unemployed,25043.0,0.61
200693,F,1,unemployed,0.0,0.584
200694,M,0,employed,26219.0,0.363
200695,M,1,employed,237123.0,0.591
200696,M,1,retired,48808.0,0.133
200697,M,0,employed,37110.0,0.456
200698,M,1,employed,71063.0,0.485
200699,F,1,unemployed,21735.0,0.267
200700,M,1,unemployed,28593.0,0.174
200701,M,0,unemployed,27144.0,0.566
200702,M,0,student,24380.0,0.808
200703,M,1,employed,30224.0,0.238
200704,M,1,unemployed,24461.0,0.544
200705,F,1,retired,31166.0,0.083
200706,M,1,employed,48434.0,0.524
200707,F,1,employed,303600.0,0.257
200708,F,1,unemployed,26537.0,0.295
200709,M,0,employed,21587.0,0.632
200710,F,0,unemployed,22631.0,0.17
200711,F,1,employed,62135.0,0.545
200712,M,0,employed,20401.0,0.497
200713,F,0,employed,20900.0,0.004
200714,M,1,employed,54802.0,0.458
200715,F,1,employed,17144.0,0.686
200716,F,0,student,16444.0,0.46
200717,F,1,employed,76771.0,0.546
200718,F,0,employed,21164.0,0.566
200719,M,1,employed,25141.0,0.221
200720,M,0,employed,66570.0,0.413
200721,M,0,student,14927.0,0.854
200722,M,0,student,0.0,0.556
200723,M,0,retired,40309.0,0.088
200724,F,0,student,0.0,0.491
200725,M,1,unemployed,24188.0,0.404
200726,F,0,student,11129.0,0.319
200727,M,0,student,16554.0,0.069
200728,F,0,employed,10507.0,0.087
200729,M,0,retired,29648.0,0.101
200730,F,1,unemployed,24609.0,0.414
200731,F,1,employed,56597.0,0.248
200732,M,1,employed,10048.0,0.387
200733,M,1,unemployed,26183.0,0.211
