id,own,competing2,competing3,borrowertype,accepted,default,profit
100084,.2782097,.20923,.584577,2,0,0,
100085,.0957792,.1635602,.0428388,3,0,0,
100086,.1702157,.9933963,.7623917,1,1,0,1702.157
100087,.0910763,.0906376,.1067031,2,0,0,
100088,.1301387,.1644246,.6423766,1,1,0,1301.386
100089,.1455652,.203026,.1310714,2,0,0,
100090,.1528432,.9885878,.162789,3,0,0,
100091,.1479822,.152811,.1158738,3,0,0,
100092,.0955706,.1792697,.025101,1,0,0,
100093,.2380777,,,2,1,0,2380.777
100094,.3553662,.252586,.2612267,1,0,0,
100095,.3444152,.8435065,.2656223,1,0,0,
100096,.1619679,.25602,.2557646,3,1,0,1619.679
100097,.1282528,.274759,,1,1,0,1282.528
100098,.1346812,.046808,.1897089,1,0,0,
100099,.3121262,.1644254,.173998,3,0,0,
100100,.1500321,.487428,.055451,2,0,0,
100101,.1538352,.230702,.2424618,1,1,0,1538.352
100102,.1931667,.6720573,.0878821,1,0,0,
100103,.1823663,.1644264,.7672517,1,1,0,1823.662
100104,.1911609,.4719085,.1734074,1,1,0,1911.609
100105,.3995781,.8874478,,3,1,0,3995.781
100106,.1231936,.2261205,.0677875,2,0,1,
100107,.2079864,.1722073,.1170675,3,0,1,
100108,.2630004,.1644268,.2751487,2,0,1,
100109,.1801729,.164426,.2150408,1,1,0,1801.729
100110,.2897852,.6034507,.3189884,2,1,0,2897.852
100111,.2034295,.7397265,,3,1,0,2034.295
100112,.1650609,.5323302,.228165,1,1,0,1650.609
100113,.1763199,.105475,.35695,3,0,0,
100114,.2261513,.502714,.1810622,2,0,0,
100115,.2019438,.1855116,.131083,1,0,1,
100116,.1663941,.152806,.0792826,1,0,0,
100117,.5107588,,.7585717,3,1,1,-10000
100118,.1174964,.1644275,.0491884,2,0,0,
100119,.1716026,.19928,.1944,2,1,0,1716.026
100120,.1540586,.213155,.3380211,1,1,1,-10000
100121,.1486231,,.4185602,2,1,1,-10000
100122,.1576954,.132265,.0555743,1,0,0,
100123,.1804931,.5199593,.3123368,1,1,0,1804.931
100124,.2365632,,.2208193,2,0,0,
100125,.2067151,.284275,.5377569,2,1,0,2067.151
100126,.3278812,.25352,.1990195,1,0,1,
100127,.1195348,.183377,.2008341,3,1,0,1195.348
100128,.1645442,.4758852,.3217055,1,1,0,1645.442
100129,.1193249,.2025225,.1243607,2,1,0,1193.249
100130,.2407441,,.3053438,2,1,0,2407.441
100131,.4187391,,.1819217,2,0,0,
100132,.1423144,.255232,.3089897,3,1,0,1423.144
100133,.4360115,,.3157013,1,0,0,
100134,.1745356,.159817,.4018521,1,1,0,1745.356
100135,.1753105,.16025,.1585099,2,0,0,
100136,.1482501,.7341809,.3776592,2,1,1,-10000
100137,.1988502,,.5423902,2,1,0,1988.502
100138,.888373,,.8779318,3,0,1,
100139,.3273742,.5521309,.4224944,3,1,0,3273.742
100140,.5480121,,.4829252,1,0,1,
100141,.3284426,.5132741,.1052176,1,0,0,
100142,.1094759,.2096362,.1301131,2,1,0,1094.759
100143,.1133066,.179268,.0334955,2,0,0,
100144,.1113256,.248426,,2,1,0,1113.256
100145,.1196918,.139631,.6113567,1,1,0,1196.918
100146,.3304763,.265428,.3817343,2,0,0,
100147,.2289331,.627376,.1214414,2,0,0,
100148,.4261135,.342255,.5821192,3,0,0,
100149,.2431231,.154238,.0898082,1,0,0,
100150,.5077502,,.4415769,3,0,0,
100151,.3598066,,.7491038,3,1,1,-10000
100152,.2167338,,.6854308,1,1,0,2167.338
100153,.1938631,,.1208102,3,0,0,
100154,.2565229,.172194,.4830147,3,0,0,
100155,.2039335,.38232,.1810616,1,0,0,
100156,.2830939,.268613,.4107149,2,0,1,
100157,.217111,.185511,,3,0,0,
100158,.1350364,.160354,.1447202,3,0,0,
100159,.2128742,.1792658,.2003045,1,0,0,
100160,.1290452,.1644256,.1370995,1,1,0,1290.452
100161,.2034132,.193445,.120037,3,0,0,
100162,.2107137,.6185449,.4799883,3,1,0,2107.137
100163,.1781096,.1855139,.1547474,2,0,0,
100164,.4455414,,.5800213,1,1,0,4455.414
100165,.2887364,,.5286819,2,1,0,2887.364
100166,.2286136,,.2362762,3,0,1,
100167,.223363,,.2698271,1,1,0,2233.63
100168,.108697,.164125,.1528267,3,1,0,1086.97
100169,.5698561,,,1,1,1,-10000
100170,.1323843,.5227678,.1762074,2,1,0,1323.843
100171,.1968673,.1644274,.3438263,1,0,1,
100172,.1805262,.117932,.637123,1,0,0,
100173,.4486876,,.5372184,3,1,0,4486.875
100174,.1486408,.241103,.3456857,3,1,0,1486.408
100175,.1558788,.109667,.1669086,2,0,0,
100176,.1528454,.158727,.4714884,1,1,0,1528.454
100177,.1611409,.3673681,.1933718,2,1,1,-10000
100178,.1854491,.379014,,3,1,0,1854.491
100179,.1117821,.227571,.1019565,2,0,0,
100180,.1961183,.6817358,.1006319,3,0,0,
100181,.4194809,,.1521343,1,0,0,
100182,.2657523,.5886214,.0853461,1,0,0,
100183,.1629064,.515619,.1437739,3,0,0,
100184,.5577735,.402968,,2,0,0,
100185,.3906589,.26099,.2399638,3,0,0,
100186,.2303876,.284577,.5260301,3,1,0,2303.876
100187,.1745955,.1792662,.4268,2,0,0,
100188,.589812,,,1,1,1,-10000
100189,.4111872,,.6215641,1,1,1,-10000
100190,.1782249,.1855136,.2441621,3,1,1,-10000
100191,.4841855,,.752835,3,1,0,4841.855
100192,.3220381,,.3467872,2,1,0,3220.381
100193,.1732835,.1644262,.1051719,3,0,0,
100194,.1916603,.202495,.590327,1,1,0,1916.603
100195,.1123897,.1843874,.0794251,2,0,0,
100196,.1857692,.1855135,.2382343,1,1,1,-10000
100197,.2344134,,.5016795,3,1,0,2344.134
100198,.1832492,.290083,.1987082,3,0,0,
100199,.3115466,.201911,.203639,3,0,0,
100200,.1900187,.2562539,.1061114,2,0,0,
100201,.1879265,.164425,.2050675,3,0,0,
100202,.584149,,.7184333,3,1,0,5841.49
100203,.2123878,.1717145,.5101734,3,0,0,
100204,.1782769,.2025236,.007,1,0,0,
100205,.116365,.30161,.0660303,2,0,0,
100206,.1969203,.1855117,.300926,1,1,1,-10000
100207,.2241744,.1792665,.162789,2,0,0,
100208,.3366684,.6510654,.2895611,1,0,1,
100209,.1228181,.26767,.1351959,3,0,0,
100210,.2340197,.7052124,.2014734,1,0,0,
100211,.1506731,.6034326,.2761477,3,1,0,1506.731
100212,.1172717,.123422,.0145127,2,0,0,
100213,.178736,.217826,.0810981,2,0,0,
100214,.1084069,.3611251,.0380206,2,0,0,
100215,.1627413,.1644235,.1372477,2,0,0,
100216,.1795232,.139916,.4304294,3,0,0,
100217,.122177,.093283,.0877182,2,0,0,
100218,.1306499,.157154,.0852578,3,0,0,
100219,.5733407,,,2,1,1,-10000
100220,.4271393,.327804,.1542616,2,0,0,
100221,.1869006,.1855066,.2250665,2,0,1,
100222,.8832922,.43363,,2,0,1,
100223,.1144912,.1644266,.0734918,3,0,0,
100224,.1687849,.142084,.6063016,3,0,0,
100225,.1677831,.1644257,.1164385,3,0,0,
100226,.2565435,.17926,.1211947,3,0,0,
100227,.1572079,.299845,.4724675,1,1,0,1572.079
100228,.1022575,.1644269,.0676316,3,0,0,
100229,.6148141,.380776,.7150651,1,0,0,
100230,.2004318,.6726592,,2,1,0,2004.318
100231,.2040145,.185505,,1,1,0,2040.145
100232,.2723515,.280313,.2596528,2,0,0,
100233,.1561592,.249315,.1047526,3,0,0,
100234,.1705364,.7010278,.3588087,3,1,0,1705.364
100235,.1133411,.101885,.0660747,3,0,0,
100236,.2357217,.274759,.4264507,1,1,1,-10000
100237,.2124887,,.1379602,1,0,0,
100238,.6084454,,.8711471,3,1,0,6084.454
100239,.1602144,.1527863,.0850886,3,0,0,
100240,.2341331,.274542,.1211947,3,0,0,
100241,.2300836,.22515,.1394871,1,0,0,
100242,.2739179,.731674,.1336238,1,0,0,
100243,.9667634,,.9727276,3,0,0,
100244,.1727192,.135548,.1453214,1,0,0,
100245,.1616351,.1696927,.1436682,2,0,0,
100246,.2268073,.6350005,,3,1,0,2268.073
100247,.190857,.18551,.361086,1,1,0,1908.57
100248,.3076461,.5132741,.228681,1,0,1,
100249,.1678606,.1528076,.7491038,1,1,0,1678.606
100250,.9290991,,,1,1,1,-10000
100251,.1095017,.3048149,.062107,1,0,0,
100252,.1161921,.18172,.2628828,2,1,0,1161.921
100253,.1035347,.1792684,.0808471,2,0,0,
100254,.1657699,.105367,.4547816,1,0,0,
100255,.1245037,.1792696,.0285986,3,0,0,
100256,.4336804,.278226,.2407723,2,0,0,
100257,.1930298,.7306221,.9129394,1,1,0,1930.298
100258,.3292558,.4719085,.3327895,3,0,0,
100259,.1094759,.15957,.1176044,2,1,0,1094.759
100260,.1522994,.138206,.1285857,2,0,0,
100261,.1421105,.1644241,.515006,2,1,0,1421.105
100262,.3232223,.176994,.1839841,1,0,0,
100263,.1877957,.116529,.1193243,1,0,0,
100264,.1711653,.2025188,.0916293,2,0,0,
100265,.5428232,,.5424783,2,0,1,
100266,.4251438,.264871,.3559981,1,0,1,
100267,.1122202,.1843874,.1575525,1,1,0,1122.202
100268,.4190778,.7175785,.2891808,3,0,0,
100269,.4286442,,.3766991,3,0,0,
100270,.2235658,.7113969,.1360762,1,0,0,
100271,.2234203,.4281868,.8916592,1,1,0,2234.203
100272,.1797543,.2025137,.8505018,3,1,0,1797.543
100273,.1034295,.1429,.0441109,1,0,0,
100274,.2044166,.077863,.0880328,1,0,0,
100275,.1511144,.272744,.0695256,3,0,0,
100276,.4014975,,.1285857,1,0,0,
100277,.337669,.4628544,.145793,2,0,0,
100278,.1719388,.308691,.1680737,3,0,1,
100279,.1796588,.6373417,.1139011,2,0,0,
100280,.3054087,,.3417828,2,1,1,-10000
100281,.6739769,.392353,.5264371,1,0,0,
100282,.189081,.1644243,.4000055,3,0,0,
100283,.3264155,,.3266345,3,0,1,
100284,.170822,.3212198,.4146481,1,1,0,1708.22
100285,.2057832,.314015,.3991942,3,1,0,2057.833
100286,.2547081,.1855082,.1500815,1,0,0,
100287,.2497848,,.3737935,3,1,1,-10000
100288,.2912554,.116218,.1982022,2,0,0,
100289,.4282326,,.2722208,2,0,0,
100290,.7428088,.42267,,1,0,1,
100291,.187248,.215472,.1644838,1,0,0,
100292,.2206257,.9842525,.61757,3,1,0,2206.257
100293,.1600959,.158018,.6856667,1,1,0,1600.959
100294,.2098857,,.1846533,1,0,0,
100295,.1429127,.232689,.2793356,1,1,0,1429.127
100296,.1680086,.286072,.3802354,1,1,0,1680.086
100297,.5223457,,.6583443,2,1,1,-10000
100298,.1484764,.4981846,.4107577,3,1,0,1484.764
100299,.2185063,.125897,.2074247,3,0,0,
100300,.4263594,,.4867766,2,1,1,-10000
100301,.3289542,.1792669,.1033099,2,0,1,
100302,.337179,.27875,.2293321,3,0,0,
100303,.1728761,.167833,.130741,2,0,0,
100304,.5608365,,.7191257,1,1,0,5608.365
100305,.1291337,.229062,.1877906,1,1,1,-10000
100306,.1991208,.167597,.1679467,1,0,0,
100307,.5865236,.291893,,1,0,0,
100308,.1615315,.12503,,3,0,0,
100309,.1180352,.2543,.0817182,3,0,1,
100310,.2799864,,.4508795,2,1,0,2799.864
100311,.4189879,.8795019,.3518885,2,0,0,
100312,.1415768,.130524,.3066088,1,1,0,1415.768
100313,.5558787,.375322,.5550103,3,0,1,
100314,.3408853,,.279939,3,0,1,
100315,.3963549,.229951,.3164131,2,0,0,
100316,.3921341,.7068471,.5687438,2,1,1,-10000
100317,.4215744,.6715822,.7025017,1,1,0,4215.744
100318,.1107541,.1855141,.0071005,2,0,0,
100319,.2961076,.34834,.4146481,1,1,1,-10000
100320,.2810901,,.2537362,3,0,0,
100321,.1405245,.1855114,.1265961,1,1,0,1405.245
100322,.2403453,.8683209,.1949691,1,0,0,
100323,.2964162,.6448345,.1467022,1,0,0,
100324,.5380713,,.6765471,3,1,0,5380.713
100325,.1939661,.230383,.5707951,3,1,0,1939.661
100326,.3317759,.8961908,.4757259,2,1,0,3317.759
100327,.2892902,.6646225,,3,1,1,-10000
100328,.4469977,,.3650392,1,0,0,
100329,.2032302,.247169,,2,1,0,2032.302
100330,.248219,.241149,.2880944,2,0,0,
100331,.1251476,.184214,.0765711,2,0,0,
100332,.1046566,.1313907,.0485511,3,0,0,
100333,.1623099,.1644234,.5707951,2,0,0,
100334,.4177477,,.2222481,2,0,1,
100335,.1159522,.1792665,.1601648,3,1,0,1159.522
100336,.4335206,.9629663,.6600641,3,1,1,-10000
100337,.1624279,.1528144,.1623821,1,1,0,1624.279
100338,.1527931,.8835884,.1275773,1,0,0,
100339,.1895939,,.1429895,3,0,1,
100340,.1095598,.1807088,.0692343,1,0,0,
100341,.1965126,.183368,.590327,2,0,0,
100342,.2340449,.1721945,.1689551,3,0,0,
100343,.1884735,,.0630506,2,0,0,
100344,.2717077,.1644253,.1038424,3,0,0,
100345,.2440029,.1644251,.1808287,2,0,0,
100346,.1144267,.2795632,,3,1,0,1144.267
100347,.1805775,.1644253,.0676316,1,0,0,
100348,.7223381,.412916,.6531807,1,0,1,
100349,.1072832,.1644257,.0497199,2,0,0,
100350,.1493921,.1580174,.3756956,2,0,1,
100351,.133576,.153381,.1411261,1,1,0,1335.76
100352,.1965514,.155528,,2,0,0,
100353,.1498698,.1528081,.3397513,3,1,1,-10000
100354,.1887691,.164425,.5659876,3,0,0,
100355,.1131247,.154587,.0432265,2,0,0,
100356,.2021749,.20187,.6968523,2,0,0,
100357,.1845995,.5126113,.3421859,2,1,0,1845.995
100358,.1887502,.8683209,.1987082,1,1,0,1887.502
100359,.1634187,,.7025017,1,1,1,-10000
100360,.1459202,.8835884,.1415844,3,0,0,
100361,.1718602,.2025126,.1261111,1,0,0,
100362,.1817337,.3307,.15152,2,0,0,
100363,.1796675,.1855068,.1574451,3,0,0,
100364,.1641248,.1855142,.0088081,1,0,0,
100365,.488879,,.5545443,1,1,1,-10000
100366,.1928913,,.3927215,3,1,1,-10000
100367,.2261898,.339024,.7438562,2,1,1,-10000
100368,.2418337,,.3119687,3,1,1,-10000
100369,.6919082,,1,3,1,0,6919.082
100370,.2814064,.333942,.361086,2,1,1,-10000
100371,.0955928,.0479082,.0070091,1,0,0,
100372,.5562237,.321401,.6459706,3,0,1,
100373,.1797986,,.2008341,2,1,0,1797.986
100374,.2198615,,.2181966,1,1,0,2198.615
100375,.1790128,.731674,.4224944,3,1,0,1790.128
100376,.1653181,.4176894,.1791959,2,1,0,1653.181
100377,.1478369,.59025,.112859,2,0,0,
100378,.1414166,.147949,.0654202,1,0,0,
100379,.1224654,.1855121,.1674078,3,1,0,1224.654
100380,.2892,.5497668,.2220502,2,0,0,
100381,.1224218,.18625,.5016795,2,1,0,1224.219
100382,.1667215,,.2660002,1,1,0,1667.215
100383,.3343153,.2025174,.7983595,2,0,1,
100384,.160763,.6362413,,3,1,0,1607.63
100385,.2141941,,.2355122,3,1,1,-10000
100386,.1002422,.1792683,.02767,1,0,0,
100387,.9578348,,.6353143,3,0,1,
100388,.2084201,.237085,.1285857,2,0,1,
100389,.1945924,.150471,.1016796,3,0,0,
100390,.1781808,.325294,.2128144,2,1,1,-10000
100391,.4620241,,.4460233,3,0,0,
100392,.1520343,.1722034,.2355122,3,1,1,-10000
100393,.2216574,.5051674,.1299762,1,0,0,
100394,.1783389,.086418,.0640642,2,0,0,
100395,.1389354,.247417,.1700088,1,1,0,1389.354
100396,.6633136,,.9750919,1,1,0,6633.136
100397,.256418,.1644268,,1,0,1,
100398,.3037065,.4771474,.2123805,3,0,0,
100399,.1255037,.154952,.0634817,1,0,0,
100400,.3678079,.304424,.4341043,2,0,0,
100401,.3256923,.1855087,.2024615,2,0,1,
100402,.1398798,.1167563,.05619,1,0,0,
100403,.2977149,.484808,.2386233,2,0,0,
100404,.1118661,.172602,.3906264,1,1,0,1118.661
100405,.553562,,.7716155,3,1,0,5535.621
100406,.1715894,.141298,.2288269,1,0,0,
100407,.1160851,.22237,,3,1,0,1160.851
100408,.1476675,.092602,.112131,2,0,0,
100409,.160362,.1528126,.1905928,2,0,0,
100410,.186877,.185507,.8505018,3,0,0,
100411,.1131247,.191599,.041694,3,0,0,
100412,.2038513,,.1682154,2,0,1,
100413,.5624884,.349517,.5104028,1,0,1,
100414,.1432986,.291055,.1487868,1,1,0,1432.985
100415,.4562275,.318432,,3,0,1,
100416,.1890979,.532835,.1436567,2,0,0,
100417,.2433231,.473347,.566439,1,1,0,2433.231
100418,.1918456,.1855102,.3574826,1,1,0,1918.456
100419,.1646121,.235753,.3467872,1,1,0,1646.121
100420,.1649556,.8834637,.1722645,1,1,0,1649.557
100421,.2496885,.548844,,2,1,0,2496.885
100422,.4146585,,.3831202,2,0,1,
100423,.2814861,,.1869602,2,0,1,
100424,.1981886,.155596,.1601648,2,0,0,
100425,.3266283,.199051,.092569,1,0,0,
100426,.3323922,.291674,,2,0,0,
100427,.1930645,.170176,.1770766,3,0,0,
100428,.1001319,.1351603,.0439368,3,0,0,
100429,.4288372,.42444,.2682407,3,0,1,
100430,.1517566,.1528013,.4885882,3,1,0,1517.566
100431,.5733647,,.73879,1,1,1,-10000
100432,.2288284,.827977,.2220267,1,1,0,2288.284
100433,.1070284,.4086941,.1660233,2,1,0,1070.284
100434,.1903798,.6712625,.6746292,1,1,0,1903.798
100435,.290836,.164424,.1414844,3,0,0,
100436,.190619,.4416788,.2225195,1,1,0,1906.19
100437,.5986049,.703745,.6054962,3,0,0,
100438,.5799773,,.9782625,2,1,0,5799.773
100439,.5783219,,.8970241,2,1,0,5783.219
100440,.1461157,,,2,1,0,1461.157
100441,.3415307,.8752596,.4810832,2,1,0,3415.307
100442,.2518159,.1792679,.2741103,3,0,1,
100443,.1742057,.164426,.0315044,2,0,0,
100444,.3177662,.300774,.1957933,1,0,0,
100445,.4744424,.9582366,.5371072,1,1,0,4744.424
100446,.1298576,.149498,.0696436,3,0,0,
100447,.2128928,,.4068846,2,1,0,2128.928
100448,.1977316,.210615,.2177253,1,1,0,1977.316
100449,.2000545,.4482526,.0949136,3,0,0,
100450,.1754401,.182795,.6856667,3,1,0,1754.401
100451,.3317142,.1855059,.2400048,1,0,0,
100452,.3225763,.5228152,.3467872,3,1,0,3225.762
100453,.186114,.146756,.1601648,1,0,1,
100454,.218176,.373223,.1701417,3,0,0,
100455,.1899611,.300953,.2490455,3,1,0,1899.611
100456,.2254781,.1527938,.2597811,2,0,0,
100457,.1719785,,.2534577,3,1,0,1719.785
100458,.1574198,.347106,.5756324,2,1,0,1574.198
100459,.1800873,.373982,.5016795,2,1,0,1800.873
100460,.2013771,.7701619,.0753524,1,0,0,
100461,.2751332,.4955824,.1811968,2,0,0,
100462,.1871263,.1644218,.2745638,2,0,0,
100463,.1523102,.3408851,.1605229,3,0,0,
100464,.1560252,.2412817,.2536238,1,1,0,1560.252
100465,.8558626,,.9007719,1,1,1,-10000
100466,.3458896,,.4547816,3,1,1,-10000
100467,.2548888,.756273,.7795634,2,1,0,2548.888
100468,.1489726,.414045,.1463061,2,0,0,
100469,.1660578,.1644262,.397398,1,1,1,-10000
100470,.1760577,.320511,.1707928,3,0,1,
100471,.6138198,.32296,,1,0,1,
100472,.1189919,.231056,.0851396,3,0,0,
100473,.1870667,.293312,,2,1,0,1870.667
100474,.2705137,.185507,.1641738,1,0,0,
100475,.2950113,.275146,.3258292,1,1,0,2950.113
100476,.1573286,.1644269,,1,1,0,1573.286
100477,.1818132,.4975535,.186446,3,0,0,
100478,.2082536,.386602,.6529869,1,1,0,2082.536
100479,.1255786,.1644256,.1886687,1,1,1,-10000
100480,.2146777,.5898654,.0696436,1,0,0,
100481,.2375603,,.1488545,3,0,0,
100482,.1546218,.1855121,.2237295,3,1,0,1546.218
100483,.4312041,.911073,.2930937,3,0,0,
100484,.1948072,.2096362,.1139011,1,0,0,
100485,.6774574,,,3,1,1,-10000
100486,.164765,.5156395,.2674026,2,1,1,-10000
100487,.3040754,.446425,.5331515,1,1,0,3040.754
100488,.0904463,.061632,.0788298,3,0,0,
100489,.1407327,.237613,.1047011,1,0,0,
100490,.1430485,.168052,,1,1,0,1430.485
100491,.3411638,.225169,.2166251,3,0,1,
100492,.1821537,.1855048,.2741962,1,1,0,1821.537
100493,.2319257,.1644231,.1765414,1,0,0,
100494,.2172081,.29592,.1582596,2,0,0,
100495,.57495,,.5110066,2,0,0,
100496,.1052838,.1070999,.0165295,1,0,0,
100497,.3650384,.463123,.0823444,2,0,1,
100498,.3385576,.21667,.2528824,2,0,0,
100499,.2807632,.4911095,.7139152,3,1,0,2807.632
100500,.2087847,,.6113567,1,1,0,2087.847
100501,.1156455,.1842797,.0615609,1,0,1,
100502,.1432229,.219912,.1701238,2,1,0,1432.229
100503,.3758733,.6273177,.295996,2,0,0,
100504,.3593734,.1527989,.2990513,1,0,0,
100505,.1632494,.140566,.1329603,3,0,0,
100506,.2156662,,.4146481,3,1,0,2156.662
100507,.123274,.1807088,.4185602,3,1,0,1232.74
100508,.666913,,,1,1,1,-10000
100509,.3056459,.8127133,.1163216,2,0,0,
100510,.5307879,,.6502548,1,1,1,-10000
100511,.4439983,.345754,.506205,3,0,1,
100512,.1903946,.2025182,.2150408,1,1,0,1903.946
100513,.3310055,.6451705,.3505008,2,1,0,3310.055
100514,.1730955,.1644242,,2,0,0,
100515,.3610497,.9771448,.7733859,2,1,1,-10000
100516,.5771194,,.8619911,3,1,0,5771.194
100517,.181188,.391084,.5331515,3,1,0,1811.88
100518,.1422154,.6630484,.2357902,2,1,0,1422.154
100519,.2435191,.573009,.3056598,3,1,0,2435.191
100520,.1456564,.310021,.1789357,3,1,0,1456.564
100521,.1770339,.2693661,.1335682,2,0,0,
100522,.1351125,.1644247,.2752588,3,1,0,1351.125
100523,.1414327,.061933,.0070272,3,0,0,
100524,.1036221,.1208259,.0263098,3,0,0,
100525,.1493011,.1528092,.2355122,2,0,0,
100526,.1927033,.1644262,.8438175,3,0,0,
100527,.1899214,.1644208,.3072461,2,0,1,
100528,.1236812,.9885878,,3,1,0,1236.812
100529,.1559441,.397012,.1191446,3,0,0,
100530,.3193489,.9423204,.4068889,2,1,0,3193.489
100531,.1395176,.3910266,.361086,2,1,0,1395.176
100532,.3447842,.1855073,.7062609,3,0,0,
100533,.1609375,.1644273,.0949136,3,0,0,
100534,.1483212,,.1351454,3,0,0,
100535,.1214656,.1644268,.1307697,3,0,0,
100536,.1742152,.170996,.1419695,1,0,0,
100537,.1932281,.6570338,.3154356,2,1,0,1932.281
100538,.1462505,.164425,.1740305,2,0,1,
100539,.1954197,.481106,.1655737,1,0,0,
100540,.1109869,.1644264,.3397513,1,1,0,1109.869
100541,.3490063,.1855061,.3795698,1,0,0,
100542,.1472853,.225175,,2,1,1,-10000
100543,.3518293,,,1,1,0,3518.293
100544,.2033231,.2025223,.4224944,2,0,0,
100545,.3364398,.1527972,.2041031,2,0,0,
100546,.2811747,.7876734,.2151936,2,0,0,
100547,.2686421,.1644242,.6012785,3,0,1,
100548,.1676406,.113216,.2036485,3,0,0,
100549,.2121952,.125883,.1492387,2,0,0,
100550,.2535742,.296603,.5805,1,1,0,2535.742
100551,.139177,.2892364,.0846402,3,0,0,
100552,.1600497,.1580252,.0891208,2,0,0,
100553,.1683652,.3394617,,1,1,0,1683.652
100554,.4343499,.8534948,.2523862,2,0,0,
100555,.1878441,.175125,.1236475,1,0,0,
100556,.1912253,.2025193,.743138,2,0,0,
100557,.2405269,.536986,.1680737,2,0,0,
100558,.2455871,,.3219207,1,1,0,2455.871
100559,.4079469,.353609,.4799883,1,0,0,
100560,.1798107,.8597965,.1240033,1,0,0,
100561,.3480994,.271911,.3157013,3,0,0,
